"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.GEPD.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",77,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",77,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.BMP","Proficiency by End of Primary",35,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS",35,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD","Student Attendance",85,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit",85,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female",87.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male",83.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural",85,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban",87.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing",1.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",1.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BFIN.5","(Financing) - Equity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators",4.4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials",4.4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills",4.7,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment",4.3,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.CONT","Teacher Content Knowledge",5.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach",5.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female",2.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male",5.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.R","(De Facto) Percent of teachers proficient in the subjects they teach - Rural",5.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.U","(De Facto) Percent of teachers proficient in the subjects they teach - Urban",6.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.2","(De Facto) Percent of teachers proficient in the subject of language",2.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.2.F","(De Facto) Percent of teachers proficient in the subject of language - Female",4.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.2.M","(De Facto) Percent of teachers proficient in the subject of language - Male",1.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.2.R","(De Facto) Percent of teachers proficient in the subject of language - Rural",2.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.2.U","(De Facto) Percent of teachers proficient in the subject of language - Urban",6.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.3","(De Facto) Percent of teachers proficient in the subject of mathematics",7.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.3.F","(De Facto) Percent of teachers proficient in the subject of mathematics - Female",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.3.M","(De Facto) Percent of teachers proficient in the subject of mathematics - Male",8.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.3.R","(De Facto) Percent of teachers proficient in the subject of mathematics - Rural",7.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.3.U","(De Facto) Percent of teachers proficient in the subject of mathematics - Urban",5.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.EFFT","Teacher Presence",91.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.EFFT.1","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit",88.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.EFFT.1.F","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female",86.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.EFFT.1.M","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male",88.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.EFFT.1.R","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural",88.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.EFFT.1.U","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban",82.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.EFFT.2","(De Facto) Percent of teachers present in their schools during an announced visit",91.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.EFFT.2.F","(De Facto) Percent of teachers present in their schools during an announced visit - Female",89.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.EFFT.2.M","(De Facto) Percent of teachers present in their schools during an announced visit - Male",91.6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.EFFT.2.R","(De Facto) Percent of teachers present in their schools during an announced visit - Rural",91.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.EFFT.2.U","(De Facto) Percent of teachers present in their schools during an announced visit - Urban",83.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR","Instructional Leadership",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.1","(De Facto) Average score for the presence and quality of instructional leadership",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.1.F","(De Facto) Average score for the presence and quality of instructional leadership - Female",3.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ILDR.1.M","(De Facto) Average score for the presence and quality of instructional leadership - Male",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.1.R","(De Facto) Average score for the presence and quality of instructional leadership - Rural",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.1.U","(De Facto) Average score for the presence and quality of instructional leadership - Urban",3.3,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ILDR.2","(De Facto) Percent of teachers reporting having had their class observed",66.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.2.F","(De Facto) Percent of teachers reporting having had their class observed - Female",90,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ILDR.2.M","(De Facto) Percent of teachers reporting having had their class observed - Male",60.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.2.R","(De Facto) Percent of teachers reporting having had their class observed - Rural",66.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.2.U","(De Facto) Percent of teachers reporting having had their class observed - Urban",85,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.3","(De Facto) Percent of teachers reporting that the classroom observation happened recently",66.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.3.F","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Female",90,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ILDR.3.M","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Male",60.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.3.R","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural",66.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.3.U","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban",85,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.4","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation",13.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.4.F","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Female",33.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.4.M","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Male",8.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.4.R","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Rural",13.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.4.U","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Urban",21.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.5","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes",3.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.5.F","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female",8.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.5.M","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male",0.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.5.R","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural",3.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.5.U","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban",7.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.6","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion",36.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.6.F","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Female",69.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.6.M","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Male",27.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.6.R","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Rural",36.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.6.U","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Urban",64.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.7","(De Facto) Percent of teachers reporting having lesson plans",49.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.7.F","(De Facto) Percent of teachers reporting having lesson plans - Female",40.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.7.M","(De Facto) Percent of teachers reporting having lesson plans - Male",51.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.7.R","(De Facto) Percent of teachers reporting having lesson plans - Rural",49.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.7.U","(De Facto) Percent of teachers reporting having lesson plans - Urban",40.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.8","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher)",72.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.8.F","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Female",77.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.8.M","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Male",71.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.8.R","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Rural",72.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ILDR.8.U","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Urban",81.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON","Policy Lever (Inputs & Infrastructure) - Monitoring",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.1","(De Facto) Percent of schools that report there is someone monitoring that basic inputs are available to students",0.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.10","(De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.IMON.2","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic inputs",0.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.3","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic inputs",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.4","(De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is available",0.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.5","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic infrastructure",0.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.6","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic infrastructure",0.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.7","(De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.IMON.8","(De Jure) Number of basic inputs clearly articulated as needing to be monitored",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.IMON.9","(De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the policies?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.IMON.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.IMON.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.INFR","Basic Infrastructure",2.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.1","(De Facto) Average number of infrastructure aspects present in schools",2.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.1.R","(De Facto) Average number of infrastructure aspects present in schools - Rural",2.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.1.U","(De Facto) Average number of infrastructure aspects present in schools - Urban",3,"Caution",2022,"cty","PAK-KP"
"SE.PRM.INFR.2","(De Facto) Percent of schools with drinking water",67.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.2.R","(De Facto) Percent of schools with drinking water - Rural",67.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.2.U","(De Facto) Percent of schools with drinking water - Urban",92,"On Target",2022,"cty","PAK-KP"
"SE.PRM.INFR.3","(De Facto) Percent of schools with functioning toilets",28.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.3.R","(De Facto) Percent of schools with functioning toilets - Rural",28.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.3.U","(De Facto) Percent of schools with functioning toilets - Urban",42.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.4","(De Facto) Percent of schools with access to electricity",73.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.4.R","(De Facto) Percent of schools with access to electricity - Rural",73.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.4.U","(De Facto) Percent of schools with access to electricity - Urban",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.INFR.5","(De Facto) Percent of schools with access to internet",0.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.5.R","(De Facto) Percent of schools with access to internet - Rural",0.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.5.U","(De Facto) Percent of schools with access to internet - Urban",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.6","(De Facto) Percent of schools accessible to children with special needs",59.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.6.R","(De Facto) Percent of schools accessible to children with special needs - Rural",59.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INFR.6.U","(De Facto) Percent of schools accessible to children with special needs - Urban",68.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT","Basic Inputs",3.3,"Caution",2022,"cty","PAK-KP"
"SE.PRM.INPT.1","(De Facto) Average number of classroom inputs in classrooms",3.3,"Caution",2022,"cty","PAK-KP"
"SE.PRM.INPT.1.R","(De Facto) Average number of classroom inputs in classrooms - Rural",3.3,"Caution",2022,"cty","PAK-KP"
"SE.PRM.INPT.1.U","(De Facto) Average number of classroom inputs in classrooms - Urban",3.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.INPT.2","(De Facto) Percent of classrooms with a functional blackboard and chalk",93.6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.INPT.2.R","(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural",93.6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.INPT.2.U","(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.INPT.3","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books",75.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.3.R","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural",75.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.3.U","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban",83.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.4","(De Facto) Percent of classrooms with basic classroom furniture",79,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.4.R","(De Facto) Percent of classrooms with basic classroom furniture - Rural",79,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.4.U","(De Facto) Percent of classrooms with basic classroom furniture - Urban",78.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.5","(De Facto) Percent of schools with access to EdTech",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.5.R","(De Facto) Percent of schools with access to EdTech - Rural",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.INPT.5.U","(De Facto) Percent of schools with access to EdTech - Urban",14.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ISTD","Policy Lever (Inputs & Infrastructure) - Standards",4.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.ISTD.1","(De Jure) Is there a policy in place to require that students have access to the prescribed textbooks?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.ISTD.10","(De Facto) Do you know if there is a policy in place to require that schools have access to drinking water?",36.7,"On Target",2022,"cty","PAK-KP"
